what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328917836377
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1328917841196
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328917844921
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1328917846137
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328917846187
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328917854921
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328917874288
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1328917876441
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1328917876441
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328917876489
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328917879603
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1328917882140
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1328917882140
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328917882220
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1328917883849
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1328917883911
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328917883942
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1328917885837
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328917885964
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1328917885964
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328917887882
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328917894175
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328917896713
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328917898348
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328917898821
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328917961613
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328917966465
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328917977101
executed,command,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.edit.text.c.format",1328917980899
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1328917984671
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1328917987200
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1328917989520
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1328917990795
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328917991213
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328917992795
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328917996030
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328917997697
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328918007198
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328918023751
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1328918033909
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328918034576
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328918035228
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1328918035627
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328918036050
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328918037565
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328918038141
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328918070719
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1328918075000
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1328918075899
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328918076349
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328918077728
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328918078773
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328918117409
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328918121317
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328918129149
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328918130491
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328918336747
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328918346525
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328918710845
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1328918728492
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328918739875
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1328918740122
started,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1328918740141
started,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1328918740186
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328918740188
error,log,,,"Error logged from Debug Core: ",1328918741151
started,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1328918741335
started,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1328918741336
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1328918741338
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328918741543
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328918757216
opened,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1328918757302
activated,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1328918757367
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328918757394
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328918759862
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328918767473
executed,command,,,"org.eclipse.cdt.debug.ui.localCShortcut.run",1328918767622
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328918767652
error,log,,,"Error logged from Debug Core: ",1328918768306
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328918768629
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328918784677
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328918787354
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328918787458
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328918790411
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328918790411
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328918824319
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328918853787
error,log,,,"Error logged from Debug Core: ",1328918854544
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1328918854676
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328918867773
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328918878639
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328918928880
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328918960099
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328918960197
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328918962973
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.navigate.backwardHistory",1328918962978
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328918988646
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328919014067
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328919014212
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328919027339
closed,editor,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.DefaultTextEditor",1328919027521
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328919030613
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328919034337
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1328919034428
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1328919034428
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328919037235
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328919778845
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328919781177
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1328919782977
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1328919783993
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1328919783993
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1328919783993
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1328919783993
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1328919784143
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1328919784143
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201009141542,"org.eclipse.cdt.gdb.ui",1328919784143
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1328919784143
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1328919784145
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1328919784200
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.traditional",1328919784200
